,Name,Unnamed: 0,MRN,Legal gender,DOB,Telephone,SSN,Doctors Name,patients_adress,Doctors Address,Health Plan Number,Date of Visit,Admission Type,Test Results,Billing Account Number,RN,Language spoken,Language written,Email,Marital status,symptoms,Contact Person Name,Date of Discharge
2457,Sarah Rose,2457,1483448083,Female,1984-01-05,+1303-898-4688,767-26-7375,Michael Hunt,"1812 Sampson Harbors Suite 089 Amyberg, RI 33444","060 Houston Islands Leroyton, IL 05701",HPB-46418,2021-02-20,Elective,Inconclusive,#862254,George Brown,English,,Sarah.Rose@yahoo.com,Married,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",Tony Payne (fiancee),2021-03-13
2458,Carlos Moreno,2458,7752898422,Male,1973-02-16,+1906-186-9268,593-65-8392,Kevin Tanner,"505 Goodman Isle Suite 501 Colleenhaven, TX 30917","382 Henderson Hills Brentmouth, CA 76966",HPB-81617,2020-10-05,Elective,Abnormal,#390750,Angelica Gillespie,English,,Carlos.Moreno@gmail.com,Single,"fever, cough and fatigue",Rachael Thomas (girlfriend),2020-10-19
2459,Richard Rios,2459,2471137474,Male,1955-04-24,+1316-378-9083,150-66-5442,Cynthia Dougherty,"509 Christian Burg Port Taraberg, IL 13620","03915 Obrien Prairie Apt. 340 North Natashashire, CO 75867",HPB-23580,2020-07-18,Emergency,Abnormal,#502930,Jordan Barry,English,,Richard.Rios@gmx.com,Divorced,"Nausea, vomiting, diarrhea, abdominal pain or cramps, fever",Samuel Rice (fiancee),2020-07-19
2460,Kristina Henry,2460,4270790448,Female,1945-02-28,+1979-218-2544,200-40-3551,Alexandra Summers,"212 Craig Orchard Collinsborough, WA 60187","2119 Joseph Alley Lake David, ME 49608",HPB-62197,2020-04-11,Elective,Inconclusive,#358228,David Adams,English,,Kristina.Henry@gmx.com,Married,fatigue,Robert Cook (friend),2020-04-27
2461,Allison Smith,2461,7108969496,Female,1983-09-12,+1262-601-5858,943-42-9632,James Perez Jr.,"727 Waters Neck Apt. 229 Lake Krystaltown, NV 32020","029 Garcia Causeway Apt. 959 Patriciamouth, VT 62855",HPB-84571,2019-10-09,Urgent,Normal,#517082,Rebecca George,German,English,Allison.Smith@yahoo.com,Widowed,fatigue,Lisa Taylor (fiancee),2019-11-04
2462,Amy Blanchard,2462,4257821542,Female,1993-04-20,+1254-681-4476,487-39-7253,Sydney Martinez,"8911 Jason Lights North Iantown, MT 27885","96544 Williams Shoals South Eric, NM 12073",HPB-74631,2023-06-27,Urgent,Inconclusive,#294960,Kelly Rodriguez,German,English,Amy.Blanchard@yahoo.com,Married,"High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies",Angela Flores (girlfriend),2023-07-24
2463,Tanya Jackson,2463,8919870149,Female,1939-02-22,+1210-194-6766,507-15-3001,Anne Hudson,"8835 Taylor Crossroad Port Joseport, KS 76471","3796 Conway Square Suite 573 Angelaborough, FL 98007",HPB-57848,2019-05-20,Emergency,Inconclusive,#751918,William Matthews,English,,Tanya.Jackson@yahoo.com,Married,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Willie Sloan (fiancee),2019-05-27
2464,Dawn Mendoza,2464,4541273380,Female,1942-03-24,+1812-737-8287,885-41-3350,Miss Rebecca Fisher,"3726 Meagan Pike Victormouth, WY 42473","8843 Tyler Manor Apt. 556 Karenberg, IN 66901",HPB-53983,2023-07-04,Urgent,Normal,#312370,Jordan Mccall,English,,Dawn.Mendoza@aol.com,Single,fatigue,David Richardson (friend),2023-07-19
2465,Janet Smith,2465,1361702324,Female,1948-09-16,+1320-739-1245,830-84-8232,Tonya Page,"912 Michael Views Suite 775 Reedland, MH 26896",USNV Fernandez FPO AP 71623,HPB-19808,2020-02-14,Emergency,Normal,#110961,Emily Woods,English,,Janet.Smith@brown.com,Married,fatigue,Alexander Ray (fiancee),2020-03-01
2466,Brittany Hoover,2466,4694186066,Female,2003-02-23,+1631-293-3866,892-77-8857,Scott Richardson,"532 Mitchell Causeway Suite 279 Codytown, UT 94615","49352 Pamela Land Suite 690 East Dustinview, SC 76138",HPB-84141,2020-06-30,Elective,Normal,#430070,Beverly Warner,English,,Brittany.Hoover@web.com,Divorced,"Red, scaly patches on the skin, itching","Christina Hoover (father), Joseph Hoover (mother)",2020-07-27
2467,Jason Lozano,2467,8559918357,Male,1958-07-22,+1424-596-4722,521-19-5856,Dwayne Hogan,"6040 Tanner Fort Michellefort, PR 36431","74767 Mora Summit Port Eric, MI 40207",HPB-68626,2019-06-04,Emergency,Inconclusive,#423876,Erica Moore,English,,Jason.Lozano@aol.com,Single,cough and fatigue,Tammy Wilson (friend),2019-06-24
2468,James Silva,2468,6618657414,Male,1972-05-24,+1757-494-3037,326-72-5175,Patricia Knight,"1778 Jo Greens Suite 777 Perezview, PW 94349","6560 Christopher Gateway Suite 940 Colonfort, PA 98119",HPB-38309,2021-09-22,Elective,Abnormal,#544107,Janice Schwartz,English,,James.Silva@web.com,Divorced,fever,Carol Carter (girlfriend),2021-09-28
2469,Craig Hendrix,2469,9787307986,Male,1969-06-05,+1308-241-2338,416-25-5736,Cindy Clark,"2393 Lauren Falls Apt. 263 Mccallport, AR 58254",USS Garza FPO AP 89391,HPB-22608,2023-06-17,Urgent,Inconclusive,#300998,Keith Davidson,English,,Craig.Hendrix@gmail.com,Single,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",John Diaz (friend),2023-07-09
2470,Thomas Norris,2470,4016366972,Male,1973-05-03,+1269-415-2201,316-78-5583,Erin Moore,"249 Jason Fort Jenniferfort, AK 41184","154 Leslie Center Suite 609 Careychester, NE 87533",HPB-14131,2023-09-28,Emergency,Abnormal,#899231,Kayla Ramos,English,,Thomas.Norris@gmx.com,Single,fatigue,Matthew Patrick (girlfriend),2023-10-16
2471,Robin Roy,2471,8885626827,Female,2002-06-11,+1704-898-6802,271-61-9294,Andrew Vazquez,"0490 Avery Corner Howardshire, KY 62882","915 George Valleys Stephanietown, AZ 40037",HPB-10576,2022-10-26,Urgent,Normal,#603104,Connie Johnson,English,,Robin.Roy@web.com,Single,"Severe headaches, nausea, sensitivity to light and sound",Ronald Brown (fiancee),2022-11-03
2472,James Dunlap,2472,8804452058,Male,1991-03-29,+1323-892-2717,583-91-6080,Melinda Johnson,"317 Martinez Crescent Jonesborough, TN 15715","09474 Marilyn Spring Schmidtton, MI 66984",HPB-39135,2021-04-19,Urgent,Normal,#679356,Karen Salazar,English,,James.Dunlap@dhl.com,Married,"Progressive muscle weakness and degeneration, difficulty walking or moving, muscle wasting",David Munoz (fiancee),2021-04-24
2473,Terri Keith,2473,1733282334,Female,1960-03-01,+1713-618-9139,204-30-2337,Sara Carlson,USCGC Martinez FPO AE 95213,USCGC Tucker FPO AP 03421,HPB-58504,2019-09-29,Elective,Abnormal,#801975,Dr. Daniel Orozco,English,,Terri.Keith@web.com,Single,"Excessive bleeding and bruising, prolonged bleeding from wounds or after dental work or surgery, spontaneous bleeding in joints or muscles",Jeremy Hudson (girlfriend),2019-10-08
2474,Jessica Spencer,2474,2526862036,Female,2002-03-04,+1203-229-7323,279-49-1490,Andrew Martin,"066 Bryan Point Suite 083 Parkerfurt, MP 66529","900 Ashley Shores Emmamouth, UT 72419",HPB-34541,2021-01-02,Elective,Inconclusive,#408622,Cody Bennett,Spanish,English,Jessica.Spencer@dhl.com,Married,"High fever, body aches, fatigue, cough, sore throat, congestion","Melissa Spencer (father), Matthew Spencer (mother)",2021-01-10
2475,Dwayne Andrews,2475,7940748781,Male,1937-04-05,+1857-547-5774,181-51-1625,Austin Nguyen,"439 Grant Knoll Apt. 921 New Kristine, PA 74840",Unit 0187 Box 6879 DPO AP 87444,HPB-15908,2021-09-17,Urgent,Normal,#724767,Robin Robinson,English,,Dwayne.Andrews@web.com,Divorced,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Denise Pierce (friend),2021-10-11
2476,Jaime Dean,2476,9270113907,Male,1969-02-14,+1718-871-9008,921-93-4937,Dustin White,"396 Sanders Plaza Apt. 396 Nicoleland, AL 42113","70864 Sandra Trail Apt. 222 Port Thomasmouth, AL 18607",HPB-36498,2022-07-10,Emergency,Normal,#952679,Bruce Mathews,English,,Jaime.Dean@yahoo.com,Married,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting",Francisco Arnold (fiancee),2022-07-28
2477,Geoffrey Diaz,2477,5972805595,Male,1978-02-13,+1725-350-7929,530-75-3993,Monica Olson,"789 Kayla Crescent New Allison, PR 58851","6212 Flores Shore Johnsonfort, IL 59301",HPB-17602,2019-12-25,Elective,Normal,#142349,Melissa Morrison,English,,Geoffrey.Diaz@web.com,Single,fatigue,Cynthia Valentine (friend),2020-01-14
2478,Rachel Taylor,2478,6254942463,Female,1956-02-10,+1316-398-3491,925-50-1316,Susan Roberts,"0660 Lee Ford Suite 781 East Diane, ID 07094","97102 Reed Fords Apt. 099 Kellybury, UT 34044",HPB-55485,2022-07-14,Urgent,Abnormal,#768689,Angela Hammond,English,,Rachel.Taylor@yahoo.com,Single,High blood pressure without proteinuria (preeclampsia),Lauren Webb (girlfriend),2022-07-25
2479,Joseph Gray,2479,7356765097,Male,1956-01-13,+1562-178-8204,340-59-1024,Megan Hill,"02935 Wendy Light Port Jill, DE 05825","69351 Moore Estates Apt. 412 Kevinburgh, AK 30122",HPB-48167,2021-09-19,Emergency,Inconclusive,#232383,Brandon Scott,English,,Joseph.Gray@aol.com,Single,Elevated intraocular pressure without optic nerve damage,Chad Stephens (girlfriend),2021-10-04
2480,Karen Maldonado,2480,8308216966,Female,1943-02-24,+1386-884-6597,840-95-6520,Alicia Montgomery,"567 Isaac Rest South Markville, OK 59569",Unit 2141 Box 1942 DPO AE 72123,HPB-44002,2022-02-21,Urgent,Inconclusive,#677210,Jessica Peters,English,Arabic,Karen.Maldonado@aol.com,Married,"High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite",Walter West (girlfriend),2022-03-05
2481,Henry Fritz,2481,7065736107,Male,2024-06-26,+1712-641-3764,113-85-6436,Nancy Mcbride,"58069 Sean Row Port Ashleyhaven, VA 95278",Unit 2144 Box 5818 DPO AE 12029,HPB-55095,2025-06-27,Emergency,Normal,,Stephanie Wilson,English,,Henry.Fritz@brown.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Anthony Fritz (father), Joseph Fritz (mother)",
2482,Zachary Garcia,2482,3854738540,Male,1962-05-25,+1253-562-6070,342-52-5105,Diana Walker,Unit 5219 Box 2252 DPO AP 37426,"57211 Rachael Shore Martinezbury, PR 23050",HPB-50160,2021-08-08,Elective,Normal,#750583,John Allison,English,,Zachary.Garcia@aol.com,Single,fever,Kiara Garrett (friend),2021-08-13
2483,Christopher Schneider,2483,1258685176,Male,1953-03-30,+1404-223-4097,753-93-3808,Stephanie Brooks,"7966 Henry Branch West David, NC 98258","16510 Sanders Lights Martinton, KY 55878",HPB-59894,2021-10-20,Emergency,Inconclusive,#969762,Matthew Collier,English,,Christopher.Schneider@brown.com,Single,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Raymond Holt (fiancee),2021-11-09
2484,Rachel Taylor,2484,6254942463,Female,1956-02-10,+1316-398-3491,925-50-1316,Cindy Morales,"242 Cooper Courts Frenchburgh, UT 18525","787 Haynes Springs New Lisaton, AK 95546",HPB-55485,2019-11-07,Urgent,Normal,#630477,Jesus Taylor,English,,Rachel.Taylor@yahoo.com,Single,cough,John Gutierrez (friend),2019-12-01
2485,Lucas Terrell,2485,5387415698,Male,1964-01-14,+1430-403-4542,270-77-6980,Jerry Morrison,"0134 Roman Lights Lake Michaelshire, IA 73752","8852 Harris Highway Isaiahchester, OK 24781",HPB-86563,2023-02-14,Emergency,Normal,#185635,Jenna Ho,English,,Lucas.Terrell@yahoo.com,Married,"Nausea, vomiting, diarrhea, abdominal pain or cramps, fever",Michael Kim (girlfriend),2023-03-11
2486,Robin Harris,2486,9034289250,Female,2022-03-15,+1718-538-6291,998-28-2861,Patricia Berry,"835 Jimmy Valley Owensview, MI 79523","3467 Kane Fall Apt. 761 Wilkersontown, CO 82162",HPB-89112,2025-03-14,Urgent,Inconclusive,,Cindy Burnett,English,,Robin.Harris@yahoo.com,Single,fatigue,"Krista Harris (father), Kimberly Harris (mother)",
2487,Andrea Harris,2487,8675560443,Female,2004-01-09,+1520-450-9475,960-66-7014,Jasmine Farley,"19446 Bray Valleys Suite 780 Monicafurt, VI 69637","5315 Denise Oval Dianehaven, NH 68995",HPB-89815,2020-05-24,Emergency,Abnormal,#361953,James Aguilar,English,,Andrea.Harris@dhl.com,Married,,"Kimberly Harris (father), Bryan Harris (mother)",2020-06-15
2488,Jacqueline Harris,2488,9256611668,Female,1970-02-22,+1608-131-6506,219-30-7653,James Cochran,"850 Jones Garden Apt. 435 Bradleyville, LA 04310","4859 Bolton Extension Suite 988 East Tammyfurt, SC 71631",HPB-77729,2024-03-30,Elective,Inconclusive,#947348,Justin Duffy,English,,Jacqueline.Harris@gmx.com,Single,"Painful urination, frequent urination, pelvic pain, cloudy urine",Adam Kelly (girlfriend),2024-04-27
2489,Christina Martinez,2489,1290056412,Female,2004-03-15,+1305-205-8606,570-53-9928,Lauren Alvarez,"757 Megan Row Apt. 172 Port Jameschester, MH 41085","7773 Reyes Loaf Suite 078 New Douglas, NH 66215",HPB-92618,2023-06-13,Urgent,Inconclusive,#276862,Jennifer Yang,English,,Christina.Martinez@yahoo.com,Single,"fever, cough and fatigue","Jason Martinez (father), John Martinez (mother)",2023-07-08
2490,Kristen Wilson,2490,5568148087,Female,1959-06-02,+1661-269-8436,729-48-7569,Jeffrey Thompson,"576 West Skyway Andersonville, FL 22884","47111 Watkins Locks North Anthonyside, SD 95210",HPB-68353,2020-06-07,Emergency,Abnormal,#115435,Ricardo Yu,English,,Kristen.Wilson@dhl.com,Married,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",Matthew Scott (girlfriend),2020-06-16
2491,Terry Holland,2491,1635244133,Male,2024-02-28,+1929-564-1303,851-54-3762,Jonathan Cruz,"0872 Ware Parkway Suite 148 Gatesfurt, MP 99932","0851 Nathan Summit Suite 836 Brockville, RI 05459",HPB-36294,2025-02-20,Elective,Abnormal,,Mr. David Hill V,English,Chinese,Terry.Holland@yahoo.com,Single,"fever, fatigue and difficulty breathing","Alexis Holland (father), Jesse Holland (mother)",
2492,Joe Serrano,2492,4853193330,Male,1978-02-21,+1563-371-1412,742-83-5155,Sherry Torres,"4945 Hudson Brook Ramirezberg, WA 02326","92836 Reese Common Apt. 584 South Vanessaport, NV 88070",HPB-36412,2023-06-10,Elective,Inconclusive,#561266,Brenda Schneider,English,,Joe.Serrano@yahoo.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Debra Lara (fiancee),2023-06-17
2493,Richard Sutton,2493,7259104929,Male,1975-04-03,+1352-603-8370,615-54-8000,Michael Goodman,"650 Small Station Suite 628 South Laurie, SC 93512","89680 Mark Keys Smithton, NJ 15956",HPB-32537,2022-01-31,Urgent,Abnormal,#414224,Valerie Curtis,English,,Richard.Sutton@gmx.com,Single,"fever, fatigue and difficulty breathing",Robert Bartlett (fiancee),2022-02-15
2494,Patricia Snyder,2494,7465791838,Female,1939-08-22,+1817-224-6526,691-94-1297,Thomas Anthony,"120 Jordan Crest West Sarahview, RI 95725","093 Stewart Forest Apt. 873 Alexanderview, PW 50305",HPB-56368,2021-08-04,Elective,Normal,#798390,William James,English,,Patricia.Snyder@web.com,Married,fatigue,Jason Lawrence (girlfriend),2021-08-21
2495,Jamie Humphrey,2495,7864022469,Female,2025-01-12,+1712-206-6608,744-66-4506,Eric Mills,"966 Carter Street North Albertport, AS 25787","3536 Calvin Springs Suite 537 Kelleyland, WY 79317",HPB-56274,2025-03-31,Urgent,Abnormal,,Holly Gonzalez,English,,Jamie.Humphrey@aol.com,Single,fatigue,"Ricky Humphrey (father), Donald Humphrey (mother)",
2496,Nicholas Espinoza,2496,5071114005,Male,1934-04-15,+1414-250-8439,176-90-7126,James Morris,"8098 Anderson Rue Owensfurt, OH 46220","5639 West Road Emmamouth, AK 74084",HPB-96423,2019-05-28,Emergency,Inconclusive,#202463,Brittany Morris,English,,Nicholas.Espinoza@gmail.com,Widowed,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Richard Miller (friend),2019-06-09
2497,Sean Thomas,2497,3483103734,Male,1999-01-29,+1747-877-6030,237-84-2749,Kimberly Zimmerman MD,Unit 7487 Box 3118 DPO AA 41972,"429 Joseph Plaza Suite 874 East Gina, TX 28293",HPB-72808,2023-10-21,Urgent,Abnormal,#972850,Kimberly Snyder,English,,Sean.Thomas@brown.com,Widowed,"Fatigue, Increased hunger, Slow healing of wounds",Rebecca Smith (friend),2023-11-20
2498,Angelica Coleman,2498,9696134501,Female,1978-01-25,+1757-428-9287,148-73-4255,Antonio Hurley,"0339 Amanda Vista Kaitlyntown, SD 52609","24893 Barry Via Suite 350 East Latashaburgh, KY 49228",HPB-87805,2023-01-02,Emergency,Abnormal,#940954,Wendy Ross,English,,Angelica.Coleman@gmail.com,Single,fever,Corey Mitchell (friend),2023-01-29
2499,Christian Wolfe,2499,3445797046,Male,1983-03-22,+1320-532-3406,567-46-6860,Ryan Baker,"8027 Samantha Port Apt. 705 Carlostown, CA 94980","4808 Darlene Rue Apt. 729 South Randy, DC 48405",HPB-35159,2023-03-07,Emergency,Abnormal,#502307,Candice Mooney,English,Arabic,Christian.Wolfe@brown.com,Married,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels",James Lopez (girlfriend),2023-03-28
2500,Kyle Oconnell,2500,9871676355,Male,1995-03-22,+1930-201-4416,536-87-6991,Dustin Mcgrath DDS,"737 Mitchell Meadows Suite 434 West Randallfort, PA 60910","98921 Michael Green Reeveshaven, MD 70080",HPB-81676,2020-04-06,Elective,Abnormal,#229222,Jessica Poole,English,,Kyle.Oconnell@dhl.com,Single,"fever, fatigue and difficulty breathing",David Mitchell (girlfriend),2020-04-21
2501,Kaitlin Hanson,2501,2782923083,Female,1959-03-26,+1734-862-8733,967-24-3160,Joshua Medina,USS Mcdowell FPO AE 01007,"090 Chad Glens Griffithberg, FL 05994",HPB-74144,2021-04-07,Emergency,Abnormal,#368298,Mary White,English,,Kaitlin.Hanson@dhl.com,Single,"Cough, fever, chest pain, difficulty breathing",Thomas Curtis (girlfriend),2021-04-10
2502,Kathryn Wilson,2502,6327963154,Female,1974-03-01,+1781-683-9124,812-82-9950,Joel Johnson,"89105 Alejandro Road Apt. 616 Silvaville, WI 64591","7456 Samantha Neck Kimberlyland, WY 51979",HPB-28247,2021-12-14,Urgent,Inconclusive,#143106,Tyler Holland,English,,Kathryn.Wilson@web.com,Married,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting",Beverly Glover (girlfriend),2021-12-15
2503,Lisa Torres,2503,9634360689,Female,1974-04-29,+1718-662-5551,767-61-9304,Robert Mcknight,"29193 Heather Fork New Jamesberg, NC 57838","6952 Samuel Mission Suite 814 East Zachary, NY 64747",HPB-41972,2023-02-19,Emergency,Normal,#535246,David King,English,Russian,Lisa.Torres@aol.com,Single,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",Jessica Howell (friend),2023-02-24
2504,Timothy Dalton,2504,4115290187,Male,1992-03-22,+1920-407-4626,753-37-9925,Jonathan Huff,"PSC 8691, Box 6224 APO AA 53106","256 Shaun Port Apt. 615 Davidsonmouth, WY 80386",HPB-74524,2024-03-26,Elective,Inconclusive,#407942,Julie Hart,English,,Timothy.Dalton@brown.com,Divorced,"Joint pain, stiffness, swelling",Catherine Jefferson (fiancee),2024-04-23
2505,Justin Chaney,2505,6827911152,Male,1997-07-24,+1260-496-2777,591-30-4873,Anthony Drake,"8182 Kim Park South Andrewville, HI 38499","8437 James Mount Henryberg, OR 55161",HPB-97456,2022-12-10,Urgent,Inconclusive,#363771,Erica Castillo,English,German,Justin.Chaney@web.com,Married,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",Kenneth Greene (girlfriend),2023-01-05
2506,James Smith,2506,6767802267,Male,2000-07-12,+1743-214-7374,716-93-4704,Joseph Perez,"2523 Jacqueline Parks Port Barbara, PR 58605","44450 Reed Mountain Bullockton, KS 08489",HPB-90860,2022-05-13,Elective,Normal,#520093,Blake Parker,English,,James.Smith@aol.com,Divorced,fatigue,Amber Smith (friend),2022-06-05
2507,Tracy Peterson,2507,4321585965,Female,1973-01-05,+1303-587-7206,613-28-7904,Antonio Johns,"737 Justin Stravenue Jasonborough, NY 56559","349 Johnston Junctions West Lisaside, VA 22028",HPB-26837,2023-09-17,Emergency,Abnormal,#253895,Dawn Johnson,English,,Tracy.Peterson@yahoo.com,Married,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels",Stephanie Hawkins (girlfriend),2023-10-11
2508,Michael Morris,2508,5850398365,Male,1995-01-26,+1415-903-5197,285-67-5839,Jillian Jones,"082 Alan Shoal Apt. 919 Port Phillip, NY 95326","188 Cordova Cape Sullivanfort, ND 15686",HPB-70981,2023-03-11,Urgent,Normal,#502102,Tyrone Durham,English,,Michael.Morris@gmail.com,Single,fever and cough,Andrew Hale (fiancee),2023-03-26
2509,Amanda Hall,2509,6019814451,Female,1960-02-17,+1503-851-1093,464-45-8323,Donald Parker,"63701 Brian Road North Aaron, MD 69027","7666 Brian Points Port Racheltown, VI 51565",HPB-81611,2023-10-02,Elective,Inconclusive,#108103,Chad Rivera,English,,Amanda.Hall@yahoo.com,Married,fever,David Taylor (fiancee),2023-10-25
2510,Bryan Wheeler,2510,9815494309,Male,1939-02-26,+1540-602-9516,309-40-2445,Kara Johnson,"00994 Jesus Terrace Suite 862 Smithburgh, MS 90970","94980 Nicole Island Adamsberg, MS 74573",HPB-26572,2020-01-27,Urgent,Inconclusive,#907785,Brandon Ayers,Arabic,Spanish,Bryan.Wheeler@gmail.com,Divorced,fever,Jessica Simpson (fiancee),2020-02-22
2511,Jasmine Brown,2511,6653360472,Female,2003-01-16,+1931-679-5724,844-70-1259,Mark Holland,Unit 2907 Box 7463 DPO AE 45793,"47743 Fox Ports Gonzalezview, CO 22001",HPB-34693,2019-09-18,Elective,Inconclusive,#696258,Mark Thomas,English,German,Jasmine.Brown@dhl.com,Married,fatigue,"Joseph Brown (father), Linda Brown (mother)",2019-10-05
2512,Jaime Cannon,2512,2547452106,Female,2000-02-05,+1971-639-5101,756-51-9969,Christopher Reid,"4128 Kristie Bypass Ashleystad, PA 61899","03799 Love Street Apt. 465 Kellyberg, PA 86470",HPB-49282,2023-10-29,Urgent,Inconclusive,#248814,Carl Perez,English,,Jaime.Cannon@brown.com,Single,"Shaking, dizziness, confusion, sweating",Raymond Benson (friend),2023-11-16
2513,Antonio Alexander,2513,3024440319,Male,1960-01-18,+1737-158-8997,598-62-8227,Jessica Pearson,"52884 Christina Ville New Kimberlymouth, LA 60601","606 Elizabeth Club North Nicole, TN 51939",HPB-94016,2020-10-11,Urgent,Inconclusive,#344773,Mary Robinson,Russian,English,Antonio.Alexander@web.com,Single,High blood sugar levels during pregnancy,Nicole Larson (girlfriend),2020-11-02
2514,Corey Frazier,2514,1123563972,Male,1945-02-15,+1612-998-3565,283-77-9830,Tammy Williams,"979 Carpenter Viaduct Suite 605 North David, CT 58405","0622 Bass Estate Apt. 806 New Randallport, AK 52632",HPB-51282,2019-10-31,Emergency,Inconclusive,#970443,Kelly Fowler,English,,Corey.Frazier@brown.com,Single,"Fatigue, Increased hunger, Slow healing of wounds",Marisa Torres (fiancee),2019-11-14
2515,Thomas Smith,2515,5933750198,Male,2002-05-25,+1774-105-2146,989-48-3188,Donna Ross,"3013 Cristian Field New Cheryl, MH 09311","838 Stephanie Drive Suite 575 North Stephanie, NM 48401",HPB-40169,2023-02-26,Urgent,Inconclusive,#592610,Michael Allen,English,,Thomas.Smith@gmx.com,Married,Elevated intraocular pressure without optic nerve damage,Mary Wagner (girlfriend),2023-03-28
2516,Valerie Reynolds,2516,7839082708,Female,1997-01-22,+1940-431-3812,576-71-8812,Kenneth Martinez,"640 Tonya Causeway New Jacqueline, WV 52271","026 Morrison Villages Suite 197 Smithstad, SC 00970",HPB-59656,2021-07-16,Elective,Abnormal,#251474,Alyssa Dunn,English,,Valerie.Reynolds@dhl.com,Married,"Joint pain, stiffness, swelling",Melinda Diaz (friend),2021-07-20
2517,Derrick Clay,2517,4337548677,Male,2000-01-29,+1580-289-7772,336-71-3212,Aaron Fernandez,"76916 Daniels Views Alexandrafurt, MH 22078","PSC 8672, Box 1335 APO AP 19394",HPB-64158,2023-01-13,Emergency,Abnormal,#585457,Ashley Holmes,English,Arabic,Derrick.Clay@web.com,Divorced,"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)",Tim Parrish (fiancee),2023-02-03
2518,Geoffrey Diaz,2518,5972805595,Male,1978-02-13,+1725-350-7929,530-75-3993,Natalie Murphy,"066 Shelly Corners Apt. 562 Tammyside, NC 29182","6421 Jim Station Suite 819 Tylerchester, VA 91020",HPB-17602,2022-07-05,Emergency,Inconclusive,#755298,Debbie Solis,English,,Geoffrey.Diaz@web.com,Single,fever and cough,Michelle Ross (fiancee),2022-07-06
2519,Brenda Perez,2519,8690409531,Female,2025-02-11,+1610-107-9441,495-14-1035,Ronnie Walker,USNV Taylor FPO AE 67021,"33104 Adam Road Sullivanfort, WA 33105",HPB-68524,2025-02-28,Emergency,Inconclusive,,Melissa Morales,English,,Brenda.Perez@gmx.com,Single,"Joint pain, stiffness, swelling, fatigue, loss of appetite","Anthony Perez (father), Shawn Perez (mother)",
2520,Theresa Parker,2520,7540008634,Female,1983-07-01,+1715-543-3624,316-25-5266,Erik Weaver,"54918 Martinez Cove Matthewburgh, MO 00807","448 Patterson Gardens Shannonborough, TN 67034",HPB-31382,2019-07-06,Emergency,Abnormal,#419259,Corey Davis,English,,Theresa.Parker@gmx.com,Married,"Joint pain, stiffness, swelling",Rebecca Watkins (girlfriend),2019-07-27
2521,James Nielsen,2521,6479219484,Male,1945-01-10,+1818-586-7555,380-50-8405,Kathy Alexander,"516 Jennifer Squares Suite 327 Laneville, SC 26990","66616 Nancy Common Reynoldsstad, CA 90501",HPB-80124,2019-11-07,Urgent,Normal,#556808,Christopher Parker,English,,James.Nielsen@yahoo.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Steven Davis (fiancee),2019-11-11
