,Name,MRN,Legal gender,Date of Visit,Telephone,SSN,Doctors Name,patients_adress,Doctors Address,Health Plan Number,Test Results,Billing Account Number,RN,Admission Type,Language spoken,Date of Discharge,DOB,Email,Marital status,Contact Person Name,Language written
2256,Christopher Daniels,8601375329,male,2025-06-27,+1620-296-3568,363-12-3498,Angela West,"5794 Hall Mall Carlsonburgh, DE 61203","908 Samantha Mills Lake Paige, MH 67575",HPB-22524,Normal,#945830,Wanda Carter,Emergency,English,2025-7-8,1975-06-08,Christopher.Daniels@web.com,Single,Heather Montoya (girlfriend),
2257,Michael Tucker,6954226154,male,2025-05-17,+1475-361-8873,109-32-8645,Kimberly Brown,"47140 Sean Wells Latoyaton, NC 87152",Unit 4093 Box 0876 DPO AA 47700,HPB-18305,Normal,#757460,Scott Rodriguez,Urgent,English,2025-5-17,1977-02-11,Michael.Tucker@aol.com,Single,Rebecca Gomez (friend),Spanish
2258,Mary Gomez,3107164250,female,2025-06-05,+1812-638-7102,551-85-2530,Timothy Fisher,"91727 Edwards Divide Cassandramouth, WY 31264","069 Mccoy Neck Apt. 661 Port Crystalland, PA 36989",HPB-85523,Abnormal,#477309,Melody Wallace,Emergency,English,2025-6-5,2014-03-29,Mary.Gomez@web.com,Married,"Eugene Gomez (father), Carmen Gomez (mother)",
2259,Megan Morton,8376949387,female,2025-06-20,+1520-456-7253,254-21-4544,Amy Gonzales,"6861 Duke Brooks Apt. 293 Jeremystad, MH 69173","8032 Victoria Burgs Apt. 993 South Deanna, VA 80713",HPB-76676,Normal,#298943,Cheryl Wilson,Urgent,English,2025-6-20,1956-05-29,Megan.Morton@brown.com,Single,Deanna Christian (fiancee),
2260,Samuel Garcia,2732167258,male,2025-06-19,+1214-563-1591,720-81-4643,Jacqueline Chapman,USCGC Armstrong FPO AE 79377,"751 George Knoll Apt. 588 South Angelicaton, AR 63507",HPB-18605,Inconclusive,#811764,Daniel Baker,Emergency,English,2025-6-19,1988-06-26,Samuel.Garcia@dhl.com,Single,Jasmine Burnett (friend),
2261,Debra Dyer,6944044267,female,2025-04-25,+1534-308-2933,729-87-1607,Gerald Carlson,"981 Kelsey Locks Apt. 973 South Bradleytown, AL 34466","1649 Hutchinson Green Christopherfurt, IL 15933",HPB-78159,Normal,#230043,Amanda Schmidt,Elective,English,2025-5-1,2000-03-30,Debra.Dyer@brown.com,Single,Molly Mercado (girlfriend),
2262,Robin Hudson,1547377151,female,2025-06-21,+1559-157-1005,691-28-2593,Rebecca Li,"PSC 2118, Box 6256 APO AP 17215","348 Allison Manors Apt. 020 New Zacharyburgh, RI 96174",HPB-83353,Normal,#148605,Rickey Young,Elective,English,2025-7-3,2001-06-09,Robin.Hudson@brown.com,Single,Sarah Davis (friend),
2263,Ryan Dunn,7466825631,male,2025-05-08,+1702-582-7099,697-19-9055,Heidi Lopez,"6325 Jackie Ridge Apt. 003 Port Tracy, DC 84325",Unit 7295 Box 7846 DPO AE 86953,HPB-54636,Abnormal,#907208,Robin Holt,Urgent,English,2025-5-8,1952-02-15,Ryan.Dunn@web.com,Single,Teresa Sanchez (fiancee),
2264,Joshua Smith,9484974113,male,2025-05-31,+1726-848-9661,857-64-7094,Stacey Curry,"43535 Angela Heights Suite 380 Bensonville, FL 72993","239 Walter Plaza Suite 963 West Elizabethtown, MP 13718",HPB-51883,Normal,#843209,Dr. Jennifer Erickson,Emergency,Arabic,2025-6-7,1944-01-23,Joshua.Smith@gmx.com,Single,Theresa Williams (girlfriend),English
2265,Frederick Ferguson,4255784086,male,2025-05-04,+1636-875-1728,841-21-2290,Eileen Hernandez DDS,"781 Michael Squares Nicholsport, UT 13506","9305 Black Circle Suite 250 North Suzanne, UT 27985",HPB-94150,Normal,#605749,Christian Mckinney,Elective,English,2025-5-4,1973-02-04,Frederick.Ferguson@gmx.com,Single,Donna Hobbs (fiancee),
2266,Gregory Ward,4356496795,male,2025-06-14,+1763-713-3018,908-95-4853,Mark Mathews,"1711 Randolph Lock Suite 494 Spencerton, PW 91376","2274 Gregory Station Alexanderville, KY 82918",HPB-17760,Normal,#133700,Regina Li,Urgent,English,2025-6-14,1983-05-06,Gregory.Ward@yahoo.com,Single,Yolanda Stevens (girlfriend),
2267,Thomas Meyer,3188777580,divers,2025-06-30,+1303-418-7293,223-83-4826,Shannon Ford,USS Bass FPO AE 04882,"318 Daniels Isle Lake Tashaburgh, CA 49676",HPB-18045,Abnormal,#649696,James Brown,Elective,English,2025-7-10,1989-02-26,Thomas.Meyer@brown.com,Single,Elizabeth Hoover (girlfriend),
2268,William Washington,7324763686,male,2025-05-24,+1931-969-2915,704-46-9395,Jamie Wilson,"940 Gilbert Track New Michaelberg, AR 62623","7153 Dennis Way Apt. 519 East Seantown, OH 50473",HPB-57667,Normal,#403201,Lacey Chang,Elective,English,2025-5-24,2003-05-13,William.Washington@web.com,Single,Kathryn Walker (girlfriend),
2269,Tyler Gonzales,6644857451,male,2025-04-24,+1972-639-9821,501-10-4946,Justin Miller,"525 Davis Forge Suite 879 Lake Barbaraburgh, OK 30673","047 Jennifer Manor West Debrahaven, TX 63757",HPB-16456,Abnormal,#852540,Travis Jones,Urgent,English,2025-4-24,1967-02-22,Tyler.Gonzales@dhl.com,Single,Bethany Stafford (fiancee),
2270,Melanie Johnston,6052313579,female,2025-05-26,+1214-925-3307,916-57-9337,Lisa Gonzales,"1562 Joe Trafficway Port Emilyport, KS 47605","35885 Barnett Avenue Apt. 318 North Rachael, IN 01481",HPB-80478,Normal,#521763,Frank James,Emergency,English,2025-6-2,2009-05-10,Melanie.Johnston@gmail.com,Single,"Alexander Johnston (father), Wendy Johnston (mother)",
2271,Francis Alvarado,4645513829,male,2025-05-25,+1913-285-7444,109-45-1711,Danielle Nichols,"468 Byrd Green Apt. 745 Jennamouth, NY 00732","6174 Garrett Shore Lake Kayla, SD 00586",HPB-33361,Abnormal,#635266,Amanda Ward,Emergency,English,2025-6-5,1998-01-20,Francis.Alvarado@aol.com,Single,Amy Edwards (girlfriend),
2272,Danielle Norris,3241970659,female,2025-01-31,+1770-785-7364,109-15-6900,Jamie Taylor,"98332 Jessica Lane Suite 401 New Jason, PA 91762","584 Cline Junctions South James, WY 47598",HPB-17763,Abnormal,#910805,Jeremy Woods,Urgent,English,2025-2-8,2011-01-07,Danielle.Norris@web.com,Divorced,"Cory Norris (father), Stephanie Norris (mother)",
2273,Samuel Cortez,7322088323,divers,2025-06-11,+1618-526-4756,627-76-9091,Raymond Riley,"PSC 9011, Box 1141 APO AP 00672","6071 William Orchard Cynthiaville, FM 39240",HPB-49275,Normal,#662803,Jennifer Juarez,Urgent,English,2025-6-11,1978-01-11,Samuel.Cortez@gmail.com,Single,Terry Schmitt (girlfriend),
2274,Stephanie Wells,8754848787,female,2025-05-24,+1916-940-4500,571-95-3594,Mrs. Grace Burgess MD,"6942 David Pine Apt. 954 Angelicahaven, FL 40267","227 Williams Streets Suite 545 North Jeromehaven, HI 11321",HPB-79376,Abnormal,#320943,Carolyn Goodwin,Urgent,English,2025-5-24,1999-01-11,Stephanie.Wells@gmail.com,Single,Nicole Moore (fiancee),
2275,Kenneth Mendoza,3836674929,male,2025-06-24,+1781-710-7921,442-32-1702,Kayla Roth,"477 Johnston Prairie Apt. 654 Nicholasmouth, MA 39025","158 Caleb Cliffs New Dawn, ME 34395",HPB-14936,Normal,#487243,Melissa Kim DVM,Elective,English,2025-7-3,1980-06-16,Kenneth.Mendoza@brown.com,Single,Kimberly Gonzalez (girlfriend),
2276,Mark Molina,5063994863,male,2025-03-27,+1734-412-5097,167-55-7346,Melissa Morris,"76302 David Mountains Lake Cherylview, WI 19785","7076 Laura Cliff Suite 126 Williamchester, NJ 70240",HPB-60040,Normal,#250188,Michelle Rubio,Emergency,English,2025-3-27,2000-01-18,Mark.Molina@aol.com,Single,Shannon Brewer (friend),
2277,Angela Ramos,3243208253,female,2025-06-26,+1442-998-1588,229-75-5628,Edwin Ramirez,"75299 Garner Trail East Charles, WV 15583","1255 Green Manors Apt. 201 Jocelynside, MT 31589",HPB-31031,Normal,#878954,Tonya Ruiz,Emergency,English,2025-7-4,1954-01-11,Angela.Ramos@gmail.com,Single,Leah Hoffman (friend),
2278,Michael Gibbs,1990817492,male,2025-05-31,+1618-822-7878,912-21-3904,Stephen Page,"690 Elliott Pike Suite 377 Nicholsburgh, MS 07183","206 Cory Bridge North Kyle, NJ 78900",HPB-94444,Inconclusive,#702072,Kelly Clark,Urgent,English,2025-6-4,2019-05-15,Michael.Gibbs@gmx.com,Single,"Matthew Gibbs (father), Amy Gibbs (mother)",
2279,Michael Hogan,7334366864,male,2025-06-18,+1206-117-9554,704-39-2759,Kenneth Scott,"508 Leah Turnpike Davishaven, CT 56575","01612 Velasquez Drive Jameshaven, AL 61031",HPB-40770,Normal,#338995,Pamela Meyer,Elective,English,2025-6-18,1976-01-15,Michael.Hogan@dhl.com,Single,Bianca Meyers (friend),
2280,Christine George,9917984760,unknown,2025-06-21,+1917-643-9594,560-15-8566,Richard Evans,"0029 Jose Parkway North Karen, NV 05770","2945 Brianna Spur New Vanessa, PR 04747",HPB-60768,Abnormal,#584003,Stephanie Allen,Elective,English,2025-6-21,1999-03-12,Christine.George@gmx.com,Single,Jessica Weaver (friend),
2281,Kristin Hays,1552931222,female,2025-04-16,+1540-502-3811,681-17-6941,Kayla Velazquez,"75327 Richards Court West Haleybury, TX 40069","6527 Devon Hill Apt. 596 Melissastad, KY 80336",HPB-73289,Normal,#122405,Timothy Wright,Emergency,English,2025-4-16,1999-03-03,Kristin.Hays@yahoo.com,Single,Debra Lee (fiancee),
2282,Gabriel Davila,2569781112,male,2025-06-03,+1405-910-8498,522-63-6552,Eric Fields,"5706 Bird Square Apt. 619 New Amanda, LA 30671","8838 Griffith Key Port Maria, OR 10416",HPB-73828,Normal,#624932,Abigail Underwood,Elective,English,2025-6-3,1971-05-28,Gabriel.Davila@brown.com,Single,Amanda White (girlfriend),
2283,Richard Kline,6668562266,male,2025-04-24,+1314-355-8377,465-63-7222,Paul Gill,"194 Smith Estate Port Joshuahaven, AK 67807","481 Salazar Fall Apt. 185 South Daniel, DC 49906",HPB-33858,Normal,#437412,Lacey Doyle,Urgent,English,2025-5-3,1965-04-20,Richard.Kline@web.com,Single,Margaret Scott (friend),
2284,Emma Osborn,2270382342,female,2025-04-21,+1619-461-9868,183-64-5313,Aaron Clark,"5275 Allen Path East Debra, SD 11778","4776 Carl Rue North Jimmytown, FM 22648",HPB-73853,Normal,#742972,David Smith,Emergency,English,2025-4-21,1945-04-21,Emma.Osborn@aol.com,Single,Leslie Bailey (girlfriend),
2285,Kelly Trevino,9029524325,female,2025-03-03,+1912-525-8235,912-57-1644,Daniel Wood,"54322 Williams Brook Apt. 182 Guerrerotown, NC 85507","291 Lisa Plaza Suite 215 Kathrynville, AK 64880",HPB-31908,Abnormal,#957833,David Erickson,Urgent,English,2025-3-3,2022-02-07,Kelly.Trevino@yahoo.com,Single,"Michael Trevino (father), Shelby Trevino (mother)",
2286,Edwin Blackburn,5502511993,male,2025-05-25,+1239-170-2038,866-63-8409,Andre Nunez MD,Unit 0703 Box 8366 DPO AA 83045,"3592 Holt Neck Williamtown, SD 99766",HPB-82138,Normal,#194965,Katherine Estrada,Elective,English,2025-6-3,1998-03-26,Edwin.Blackburn@gmx.com,Single,Angela Holmes (fiancee),
2287,Joseph Price,5443651623,unknown,2025-06-23,+1614-956-2425,410-20-8032,Jeffrey Parker,"3798 Sabrina Road Suite 548 South Amanda, VA 65458","06056 Emily Viaduct Apt. 581 Williamsfurt, VI 81120",HPB-59720,Normal,#151850,Denise Vance,Elective,English,2025-6-23,1980-03-27,Joseph.Price@gmail.com,Single,Megan Brown (girlfriend),
2288,Mark Freeman,9709742928,male,2025-05-02,+1419-155-3811,519-92-2099,Lisa Thompson,USCGC Benton FPO AA 06024,"810 John Forks Suite 071 West David, TN 83734",HPB-48019,Normal,#836747,Danielle Green,Emergency,English,2025-5-2,1975-05-14,Mark.Freeman@gmail.com,Single,Amy Warren (friend),
2289,Elizabeth Owens,1865677913,female,2025-04-05,+1312-576-1147,697-32-6694,Tamara Beck,"PSC 8233, Box 8137 APO AP 82887","3148 Garza Garden Suite 218 East Samuelburgh, NJ 52013",HPB-97465,Normal,#122681,Anthony Robinson,Elective,English,2025-4-5,1962-03-22,Elizabeth.Owens@web.com,Single,Robin Meyer (girlfriend),
2290,Manuel Patterson,9397361251,male,2025-03-18,+1320-628-6636,511-54-5361,Erika Bray,"684 Gary Walks Apt. 683 West Davidmouth, ND 27310","655 Donovan Tunnel North Anthony, DE 33863",HPB-69606,Normal,#368681,Todd Turner,Elective,English,2025-3-18,1980-02-07,Manuel.Patterson@dhl.com,Single,Stephanie White (girlfriend),
2291,Gregory Russell,4147304813,male,2025-06-28,+1323-566-6550,460-26-3860,Stephanie Orozco,"7932 Compton Ville South Kennethstad, MS 18586","4761 David Unions Justinfurt, AL 85107",HPB-38415,Abnormal,#682014,Richard Ryan,Urgent,Spanish,2025-7-1,2015-04-01,Gregory.Russell@yahoo.com,Widowed,"Brian Russell (father), Michelle Russell (mother)",English
2292,Jared Barnett,1189867288,male,2025-04-26,+1650-691-3400,981-35-4456,Anthony Reed,"2587 James Flats Suite 360 Torresborough, VT 01331","0684 Castro Forges Gillburgh, PR 42402",HPB-33631,Abnormal,#507068,Christian Hanna,Emergency,English,2025-5-2,1965-01-03,Jared.Barnett@aol.com,Single,Katherine Stone (fiancee),
2293,Travis Moore,2770261162,male,2025-04-07,+1571-163-3642,455-10-8516,Stacie Allison,"93927 Brandon Centers Derekborough, GU 06204","6068 Elizabeth Locks Amandabury, AS 22301",HPB-69741,Inconclusive,#657116,Andrea Watson,Emergency,English,2025-4-7,2003-01-12,Travis.Moore@dhl.com,Single,Mariah West (friend),
2294,Jessica Yu,5941104557,female,2025-04-18,+1850-512-7540,805-75-2316,Crystal Gibson,"5456 David Village Suite 056 East Jill, MS 45643","68617 Massey Mills New Kimberly, AL 41917",HPB-13782,Abnormal,#252357,Vanessa Lee,Urgent,English,2025-4-18,2013-02-17,Jessica.Yu@yahoo.com,Married,"Richard Yu (father), Cindy Yu (mother)",
2295,Gary House,9303145704,male,2025-07-01,+1404-656-3212,204-70-2231,Jessica Farley,"0876 Hill Square Scotttown, NY 48956","633 Donna Gateway Apt. 916 Brianchester, NJ 13680",HPB-57985,Normal,#500419,Carla Robbins,Emergency,English,2025-7-1,2023-02-09,Gary.House@brown.com,Married,"Barry House (father), Kathleen House (mother)",
2296,Brandon King,4664560135,male,2025-06-16,+1912-412-7867,346-41-5516,Megan Walker,"28120 William Shore North James, WA 33188","14737 Jennifer Rest Martinezborough, NJ 86881",HPB-10652,Normal,#348145,Jonathan Lewis,Emergency,English,2025-6-16,1982-04-10,Brandon.King@gmail.com,Single,Melissa Martin (friend),
2297,Brandon Walton,8415677645,male,2025-06-23,+1214-781-9205,120-10-4810,Jessica Harris,"6505 Christina Point Andersonland, SD 61294","616 Roberts Garden Jamieborough, SD 47446",HPB-60703,Inconclusive,#809091,Cindy Thomas,Elective,English,2025-6-23,1957-06-21,Brandon.Walton@gmail.com,Single,Lisa Lambert (fiancee),
2298,Stephen Miller,7524978421,male,2025-06-29,+1929-335-8050,563-87-7197,Peter Mata,"74433 Garrett Plaza Suite 592 Hodgesside, DC 84317","PSC 4819, Box 8685 APO AA 07144",HPB-77855,Normal,#626003,Mark Taylor,Urgent,Arabic,2025-7-7,1998-04-07,Stephen.Miller@dhl.com,Single,Julie Walters (fiancee),English
2299,Walter Powell,4448844056,divers,2025-06-21,+1815-128-1579,806-97-2264,Antonio Herrera,"63056 David Courts East Brian, MD 99864","7239 Jones Islands Apt. 812 West Thomas, IA 28812",HPB-21405,Normal,#591252,Daniel Tanner,Urgent,English,2025-7-3,2022-06-02,Walter.Powell@yahoo.com,Married,"Tyler Powell (father), Stacy Powell (mother)",
2300,Norman Serrano,5505479032,male,2025-04-11,+1239-998-5343,552-75-7157,Rachel Fleming,"26342 Livingston River Lake Sarahfort, UT 11676",Unit 4194 Box 7958 DPO AE 36798,HPB-86229,Abnormal,#551345,Rebecca Thomas,Urgent,English,2025-4-11,1957-04-25,Norman.Serrano@gmail.com,Single,Emily Perez (fiancee),
2301,Denise Hartman,1712910161,unknown,2025-04-18,+1206-537-5098,730-40-4781,Curtis Moore,"PSC 6434, Box 9867 APO AA 22225","447 Christopher Spur Apt. 431 Stewartmouth, MI 31983",HPB-14773,Abnormal,#843446,Rebecca Hernandez,Elective,English,2025-4-18,2002-04-29,Denise.Hartman@gmx.com,Single,Jacqueline Flores (fiancee),
2302,William Morgan,5750088839,male,2025-04-22,+1816-739-4959,385-82-8253,Terry Oconnell,"55825 Rodriguez Creek Suite 482 New Judy, WV 06836","05899 Ralph Crossroad Port Amy, SC 62084",HPB-81285,Normal,#908045,Taylor Johnson,Elective,English,2025-5-1,1995-04-06,William.Morgan@gmx.com,Single,Karen Marshall (friend),
2303,Michael Holloway,6380595277,male,2025-06-25,+1203-642-4941,920-59-7149,Peter Fox,"00236 Simon Vista Andretown, OH 26772","PSC 9325, Box 5998 APO AP 97532",HPB-52163,Normal,#123121,Jeffrey Wiggins,Elective,Spanish,2025-7-6,1972-03-20,Michael.Holloway@brown.com,Single,Kelly Glass (fiancee),English
2304,Miguel Rodgers,2195587576,male,2025-04-25,+1903-909-3730,165-84-3832,Melissa Holland,"84125 Rivera Courts Suite 191 Vanessabury, KS 76076","606 Justin Fields North Wendy, MH 06368",HPB-53395,Normal,#377085,Kent Brown,Elective,English,2025-5-2,1950-03-05,Miguel.Rodgers@yahoo.com,Single,Rebecca Butler (girlfriend),
2305,Jennifer Olson,7353193325,female,2025-07-01,+1615-524-2099,970-84-3163,Melissa Dillon,"17272 John Expressway Nortonport, WI 61680","6088 Smith Parkway New Anthonyshire, AK 46800",HPB-38110,Inconclusive,#168795,Tammy Reed,Urgent,English,2025-7-1,1982-05-22,Jennifer.Olson@gmx.com,Single,Heidi Hernandez (fiancee),
2306,Garrett Navarro,1101417634,divers,2025-05-18,+1260-995-1182,972-91-7912,Shelly Pineda,"82797 Carroll Glens Chadborough, TN 81112","0377 Lauren Camp Mayermouth, FM 90534",HPB-80503,Normal,#939591,Ralph Stafford,Elective,English,2025-5-18,2001-02-10,Garrett.Navarro@brown.com,Single,Courtney Bartlett (friend),
2307,Ryan Chase,1667754284,male,2025-03-03,+1571-537-4490,130-77-1643,Michelle Erickson,"7262 Kelly Drives Apt. 529 Port Laura, AR 46572","0724 Drake Lake Suite 616 East Tanyafort, MO 70666",HPB-58433,Normal,#579211,Brittany Cobb,Urgent,English,2025-3-3,1971-01-17,Ryan.Chase@dhl.com,Single,Stacey Bush (fiancee),
2308,Eric Lewis,9683864448,male,2025-06-26,+1704-580-3504,383-87-8564,Brian Flores,"3400 Eugene Knolls Suite 982 Lake Claudiachester, AL 22928","2246 Danny Island Apt. 511 Taylortown, MT 18975",HPB-99602,Normal,#606139,Michelle Steele,Urgent,Arabic,2025-7-4,1992-04-22,Eric.Lewis@dhl.com,Single,Melissa Parker (girlfriend),English
2309,Deborah Curry,6975736753,female,2025-05-06,+1719-803-6259,115-45-8009,Nancy Sanchez,"89322 Logan Lake Apt. 796 Port Rebeccafort, RI 78208","50365 Travis Pine Christineburgh, AR 35915",HPB-11647,Inconclusive,#165538,Jeanne Briggs,Emergency,English,2025-5-6,1952-02-24,Deborah.Curry@dhl.com,Single,Rebecca Silva (friend),
2310,Adam Moore,9713822086,divers,2025-06-10,+1303-471-7051,333-32-6353,Taylor Jimenez,"37417 Vincent Mill Suite 330 West Nancyberg, UT 38859","18707 Carter Mount Smithport, WI 02749",HPB-47870,Normal,#731030,Sheila Bartlett,Urgent,English,2025-6-10,2024-02-22,Adam.Moore@brown.com,Widowed,"Jeff Moore (father), Crystal Moore (mother)",
2311,James Brown,9410128307,male,2025-02-22,+1586-894-7053,403-57-9743,Stuart Morrison MD,"125 Hester Tunnel Suite 347 Lisafort, DC 92142","12285 Johnny Skyway Brandtchester, SD 63037",HPB-94438,Normal,#316281,Edwin Blevins,Elective,English,2025-2-22,2007-02-02,James.Brown@aol.com,Single,Michele Levy (girlfriend),
2312,Laura Mendoza,7461487038,unknown,2025-02-20,+1430-236-9295,188-60-1664,Nathan Howard,"310 Davis Ville Paulachester, SC 54953","98323 Michelle Fall Apt. 765 Tinaburgh, MS 18852",HPB-36428,Normal,#246743,Brooke Velasquez,Emergency,English,2025-2-20,1997-02-04,Laura.Mendoza@web.com,Single,Robin Mayo (girlfriend),
2313,Benjamin Rice,2932638276,male,2025-06-26,+1312-914-3859,903-85-6399,Joel Gregory,"48256 Bird Forge West Kendra, AL 09589","928 Aaron Forge Rojasfurt, WY 17897",HPB-44666,Normal,#144311,Veronica Larson,Elective,English,2025-7-5,1979-03-18,Benjamin.Rice@gmail.com,Single,Brittany Rowland (friend),
2314,Teresa Grimes,2445876363,female,2025-07-01,+1330-109-9175,215-50-2360,Kristin Sanders DDS,USNV Rodriguez FPO AP 79070,"PSC 0295, Box 6055 APO AA 36625",HPB-56077,Abnormal,#868483,Jeffrey Thomas,Urgent,English,2025-7-1,1998-03-02,Teresa.Grimes@gmx.com,Single,Samantha Jones (fiancee),
2315,Scott Luna,2093008500,male,2025-05-31,+1808-311-9320,164-63-7975,Jessica Ali,"51098 Amy Roads Apt. 079 Barreraland, DC 41551","8300 Scott Motorway East Gregory, MP 56804",HPB-65246,Abnormal,#263585,Robert Simon,Urgent,English,2025-6-7,2017-05-18,Scott.Luna@yahoo.com,Widowed,"Clarence Luna (father), Michelle Luna (mother)",
2316,Michelle Vaughn,9737453261,unknown,2025-04-03,+1508-192-2405,947-48-2477,Kevin Bailey,"892 Kramer Club East Amber, PW 52981","708 Peters Extension South Leslieville, MI 51557",HPB-45771,Abnormal,#318499,Joseph George,Emergency,English,2025-4-3,1975-03-28,Michelle.Vaughn@dhl.com,Single,Danielle Clark (friend),
2317,Lisa Villa,1656796061,female,2025-03-20,+1618-583-3773,261-89-4234,Jacob Landry,"36560 Rice Village South Carriefurt, AR 91357","0796 Pacheco Garden East Donaldland, VA 00647",HPB-23905,Inconclusive,#728399,Adam Howell,Elective,English,2025-4-2,1988-02-20,Lisa.Villa@yahoo.com,Single,Sandra White (fiancee),
2318,Jose Lawson,3087580123,male,2025-06-25,+1217-900-1385,991-68-4235,Stephanie Curry,"PSC 5152, Box 1532 APO AP 82958","776 Tyler Crescent Apt. 773 Port Christopher, NH 04221",HPB-84469,Normal,#465439,James House,Urgent,English,2025-7-7,2000-01-12,Jose.Lawson@web.com,Single,Jennifer Smith (friend),
2319,Juan Brown,8700781913,male,2025-05-23,+1919-812-3644,859-45-3711,Samantha Huynh,"677 Brittany Glen Brianstad, FL 26828","178 Jackson Extensions Apt. 669 Thomasstad, AS 51382",HPB-18081,Inconclusive,#525941,Timothy Lewis,Urgent,English,2025-6-2,1982-04-29,Juan.Brown@brown.com,Single,Krystal Holder (fiancee),Spanish
2320,Jonathan Brown,1477507843,male,2025-03-25,+1954-830-4805,342-75-2559,Anne Cox,USCGC Gordon FPO AA 06993,"0334 Lee Walks Suite 977 North Stephen, MI 85355",HPB-12835,Abnormal,#202123,Jessica Miller,Emergency,English,2025-4-7,1974-02-06,Jonathan.Brown@gmx.com,Single,Melissa Lane (girlfriend),
2321,Jessica Russell,5109450594,unknown,2025-05-25,+1920-969-9780,474-99-9397,Mark Santiago,Unit 7387 Box 7083 DPO AP 90378,"0198 Burns Ports North Laurenfurt, RI 77515",HPB-46902,Normal,#669110,Joseph Taylor,Elective,English,2025-6-1,2006-03-20,Jessica.Russell@gmx.com,Single,Samantha Escobar (friend),
2322,Amber Gonzales,7764170081,female,2025-04-22,+1717-262-5190,787-82-6449,Miss Karen Hernandez,"38790 Deborah Ways Suite 774 Hollyview, DC 88249","22578 Richard Place Apt. 747 Port Normanburgh, VT 30990",HPB-49136,Abnormal,#253233,Melissa Goodman,Emergency,English,2025-5-4,2009-03-12,Amber.Gonzales@yahoo.com,Widowed,"Gregory Gonzales (father), Teresa Gonzales (mother)",
2323,Donald Bishop,6949721658,male,2025-04-30,+1470-314-3974,449-22-5907,Ann Ortiz,"768 Marquez Course Suite 853 South Dustin, PR 43530","092 Kelly Point Suite 382 Coreyburgh, WV 35495",HPB-42174,Normal,#668993,Elizabeth Sutton,Elective,English,2025-5-8,1998-02-28,Donald.Bishop@gmx.com,Single,Nicole York (girlfriend),
2324,Gregory Fisher,9312287258,unknown,2025-06-01,+1315-576-1141,551-89-2454,Joshua Lopez,"65315 Jessica View Suite 627 Watsonfurt, AL 55946","61196 Brittany Vista Lake Georgefurt, HI 28847",HPB-95182,Abnormal,#241700,Catherine Macdonald,Elective,English,2025-6-1,1995-04-04,Gregory.Fisher@web.com,Single,Amber Parker (fiancee),
2325,Michael Mann,2873429080,male,2025-04-02,+1339-398-6986,593-81-3747,Jeffrey Hess,"00739 Madeline Flat Suite 382 South Jonathan, HI 44098","548 Gilbert Villages East Chrisville, SC 31488",HPB-75673,Abnormal,#649622,Roberto Anderson,Urgent,English,2025-4-2,2017-04-27,Michael.Mann@gmail.com,Single,"Eric Mann (father), Selena Mann (mother)",
2326,Karla Lewis,9888466859,female,2025-06-06,+1928-889-5076,932-99-1483,Rachel Smith,"84454 Hill Gateway Apt. 770 South Danielle, SD 47696","200 Simpson Extension Suite 421 Chanside, ME 77142",HPB-88106,Normal,#284914,Scott Schwartz,Urgent,English,2025-6-6,1995-01-04,Karla.Lewis@brown.com,Single,Laura Moore (fiancee),
2327,Ronald Houston,3078571305,male,2025-04-08,+1615-529-6025,888-80-5537,Patrick Cook,"9640 Rivas Corner Apt. 595 West Holly, PA 53215","247 Allison Mount Suite 040 Webbborough, PR 76095",HPB-19660,Normal,#137226,Penny Berg,Elective,English,2025-4-8,1970-01-24,Ronald.Houston@gmx.com,Single,Lisa Anderson (fiancee),
2328,Daniel Woods,1931359638,male,2025-06-26,+1463-270-6807,245-51-7165,Gary Lucas,"049 Carl Villages Baileyfurt, AS 47534","723 Boyd Gateway Apt. 242 New Adamberg, VT 20713",HPB-58683,Normal,#908256,Zachary Hess,Urgent,English,2025-7-5,2017-01-20,Daniel.Woods@brown.com,Divorced,"Anthony Woods (father), Shannon Woods (mother)",
2329,Richard Lewis,8784785828,male,2025-03-29,+1331-377-7737,373-19-3435,Ashley Garrett,"835 Everett Port Leahburgh, MA 84446","4144 Jennifer Drive Suite 475 Ashleyfort, DE 78768",HPB-85031,Abnormal,#542479,Thomas Ramos,Urgent,English,2025-4-10,1955-03-23,Richard.Lewis@brown.com,Single,Taylor Price (friend),
2330,Jennifer Andrews,6937616298,female,2025-06-13,+1612-937-8492,357-13-3341,Christopher Hansen,"119 Alicia Causeway New Melissamouth, NM 39878","777 Brian Loaf West Melissamouth, MS 93761",HPB-40319,Normal,#388938,Mitchell Cohen,Emergency,English,2025-6-13,2012-04-10,Jennifer.Andrews@dhl.com,Single,"Michael Andrews (father), Nancy Andrews (mother)",
2331,Jessica Stein,8961421835,female,2025-06-12,+1930-424-9037,963-16-2423,James Alexander,"955 Brittany Ports Smithchester, MH 95922","PSC 7264, Box 6237 APO AE 17299",HPB-40188,Normal,#425915,Heather Holland,Emergency,English,2025-6-12,1974-04-05,Jessica.Stein@gmail.com,Single,Alicia Hendricks (girlfriend),
2332,Charles Bush,7182022085,male,2025-06-22,+1254-761-5297,172-22-6028,Hannah Tucker MD,"55540 Mullins Forge South Michael, MS 52954","4698 Robert Flat Suite 298 South Carol, ME 88051",HPB-80858,Abnormal,#948731,Sean Mejia,Urgent,English,2025-7-3,1950-06-07,Charles.Bush@web.com,Single,Tanya Howard (friend),
